fips,Percent-of-Population-Under-15-(2017-2021),Percent-of-Population-Aged-15-to-64-(2017-2021),Percent-of-Population-65+-(2017-2021),Percent-of-Population-White-(non-Hispanic)-(2017-2021),Percent-of-Populaiton-Black-(non-Hispanic)-(2017-2021),Percent-of-Population-Hispanic-or-Latino-(2017-2021),Percent-of-Population-Asian-(non-Hispanic)-(2017-2021),Percent-of-Population-Native-American/Alaska-Native-(non-Hispanic)-(2017-2021),Percent-of-Population-Native-Hawaiian/Pacific-Islander-(2017-2021),Percent-of-Population-Aged-25+-who-Have-at-Least-a-High-School-Diploma-(2017-2021),Percent-of-Population-Aged-25+-who-Have-a-Bachelor's-Degree-or-More-(2017-2021),Poverty-Rate-(2017-2021),Median-Household-Income-(2017-2021),Unemployment-Rate-(2017-2021),Percent-of-Residents-with-a-Disability-(Aged-18-64)-(2017-2021),%-of-households-with-broadband-internet-connection-(2017-2021),Percent-of-Popualtion-Employed-in-Mining-and-Natural-Resources-(2017-2021),Percent-of-Popualtion-Employed-in-Construction-(2017-2021),Percent-of-Popualtion-Employed-in-Manufacturing-(2017-2021),Percent-of-Popualtion-Employed-in-Trade-Transporation-and-Utilities-(2017-2021),Number-of-Substance-Use-Facilities-(As-of-March-2023),Number-of-Mental-Health-Facilities-(As-of-March-2023),MDsPerCapita,Urbanicity,Social-Resilience-Score,Economic-Risk-Score,Social-Risk-Score,Economic-Resilience-Score,Prosperity-Index-Score,death-rate-2018-2021
48423,0.2046,0.6305,0.1649,0.5891,0.1689,0.2012,0.0167,0.0015,0.0009,0.8764,0.2797,0.1363,62518,0.0489,0.0979,0.8631,0.0259,0.0436,0.0592,0.2217,3,2,4.1,Urban,2,1,3,3,2,12.53084099
48425,0.1725,0.6395,0.188,0.7768,0.0207,0.1805,0.0106,0,0,0.8931,0.2819,0.1081,89253,0.0539,0.0806,0.8358,0.0334,0.0511,0.0373,0.3212,0,0,0,Urban,2,1,2,2,2,32.71537623
48427,0.2776,0.6082,0.1142,0.0322,0.0005,0.9633,0.0001,0,0,0.5875,0.1227,0.3261,33334,0.121,0.1426,0.6466,0.0138,0.0092,0.0038,0.1341,0,1,0,Rural,5,4,3,5,5,13.72620791
48429,0.1965,0.6111,0.1924,0.6981,0.0322,0.2461,0.0094,0,0,0.8485,0.186,0.1495,46537,0.0652,0.1641,0.8242,0.11,0.0666,0.2158,0.1662,0,0,10.22,Rural,4,4,4,4,4,32.81557646
48431,0.3393,0.5449,0.1157,0.601,0.0014,0.3638,0.0093,0.0022,0,0.9242,0.1876,0.0448,55481,0,0.0653,0.8564,0.271,0.0463,0,0.1686,0,0,0,Rural,3,2,2,4,2,0
48433,0.2371,0.5736,0.1892,0.7356,0.0096,0.2533,0,0,0,0.8446,0.1466,0.0719,62273,0.0211,0.1453,0.8475,0.1275,0.0989,0,0.1143,0,0,0,Rural,1,3,4,1,2,0
48435,0.2845,0.547,0.1686,0.285,0.0012,0.7021,0,0.0032,0.0015,0.7692,0.1916,0.1215,61538,0.0408,0.0748,0.6423,0.2118,0.0567,0.0285,0.2576,0,0,0,Rural,2,4,3,3,3,29.26543752
48437,0.1982,0.6186,0.1833,0.44,0.0795,0.4516,0.0016,0.005,0,0.7288,0.1632,0.2491,39685,0.0621,0.1345,0.7614,0.186,0.0209,0.0528,0.1494,0,0,0,Rural,5,5,3,5,5,42.52303331
48439,0.2172,0.6692,0.1135,0.4481,0.1662,0.2951,0.056,0.0019,0.0018,0.8665,0.3339,0.1127,73545,0.0505,0.0832,0.9116,0.0075,0.0576,0.0942,0.2498,38,15,5.24,Urban,3,2,1,3,2,25.81319944
48441,0.21,0.6462,0.1437,0.6198,0.0734,0.253,0.0228,0.0016,0.0004,0.8936,0.2786,0.1402,57811,0.0275,0.1148,0.8534,0.0176,0.0487,0.0445,0.1913,5,0,5.92,Urban,3,2,3,3,3,20.46014153
48443,0.1205,0.5884,0.2911,0.4178,0.0143,0.5414,0,0,0,0.8642,0.2062,0.0511,47012,0,0.2316,0.6761,0.0226,0.0212,0,0.1044,0,0,0,Rural,3,4,5,5,5,0
48445,0.2334,0.6189,0.1477,0.4093,0.0199,0.5619,0,0.0008,0,0.7297,0.1173,0.2227,47734,0.0795,0.1189,0.7871,0.2164,0.0148,0.054,0.1838,0,1,7.86,Rural,5,5,5,4,5,33.50925693
48447,0.1697,0.5792,0.2511,0.8359,0.0035,0.1325,0,0,0,0.9104,0.2318,0.1802,47500,0.0594,0.1237,0.8091,0.1378,0,0,0.1899,0,0,0,Rural,2,3,4,2,3,70.12622721
48449,0.2419,0.6185,0.1396,0.4356,0.0945,0.4441,0.0073,0.0008,0,0.7918,0.1692,0.1694,53818,0.05,0.1091,0.791,0.007,0.0196,0.3499,0.1534,0,0,6.14,Rural,4,4,3,4,4,28.72921122
48451,0.2016,0.6444,0.154,0.5155,0.0378,0.4118,0.0138,0.0012,0.0006,0.8744,0.251,0.1181,62052,0.0374,0.1077,0.8207,0.0303,0.0484,0.0686,0.1942,4,4,3.44,Urban,4,2,2,3,3,12.59995968
48453,0.1797,0.7205,0.0998,0.4808,0.0788,0.3363,0.0694,0.0013,0.0003,0.9063,0.527,0.1123,85043,0.043,0.0709,0.9188,0.0033,0.0533,0.0537,0.1462,21,11,7.58,Urban,1,1,1,2,1,33.75940117
48455,0.1668,0.5741,0.2591,0.7734,0.0854,0.1111,0.0009,0.0003,0,0.839,0.1336,0.1675,45392,0.084,0.2193,0.7591,0.021,0.0288,0.0735,0.1673,0,0,6.96,Rural,4,3,5,5,5,36.50967506
48457,0.1577,0.6243,0.218,0.7838,0.1031,0.0832,0.0064,0.0006,0,0.814,0.1476,0.1905,49130,0.162,0.2012,0.7911,0.0509,0.0257,0.0392,0.207,1,0,0,Rural,5,4,5,5,5,34.94408946
48459,0.1972,0.6218,0.181,0.7971,0.0808,0.09,0.0044,0.0038,0,0.8556,0.1728,0.1546,55046,0.0479,0.1703,0.8492,0.022,0.1038,0.0533,0.1896,1,1,0,Urban,5,2,4,5,4,22.06910081
48461,0.2138,0.638,0.1482,0.3892,0.0377,0.5626,0.0051,0.0048,0,0.7606,0.1195,0.1686,58333,0.0519,0.0938,0.6421,0.2778,0.0184,0,0.2021,0,0,0,Rural,4,5,3,2,4,29.94011976
48463,0.2237,0.6141,0.1623,0.2503,0.0037,0.7227,0.0109,0.0016,0,0.7478,0.1842,0.1924,51602,0.0505,0.1363,0.7302,0.0594,0.0308,0.0376,0.2176,1,1,3.7,Rural,4,3,4,4,4,36.11846858
48465,0.2401,0.6205,0.1394,0.1438,0.0114,0.8257,0.0065,0.0009,0.0001,0.7091,0.1957,0.1712,51949,0.0438,0.1404,0.6937,0.0085,0.0185,0.0969,0.2106,0,2,2.05,Rural,5,3,4,5,4,18.84145959
48467,0.1868,0.6126,0.2006,0.8269,0.0292,0.1184,0.0043,0.0061,0.0002,0.8613,0.1768,0.1211,61121,0.0369,0.1419,0.793,0.0473,0.0904,0.0864,0.1992,1,1,0,Rural,5,2,3,4,4,28.92041781
48469,0.2115,0.6285,0.1599,0.432,0.0554,0.4801,0.012,0.0027,0.0007,0.8364,0.1935,0.1619,60598,0.0462,0.1194,0.7397,0.0553,0.0529,0.0508,0.2595,2,1,1.1,Urban,4,3,3,3,3,13.14636284
48471,0.1228,0.7456,0.1316,0.5588,0.2251,0.1833,0.0111,0.0019,0.003,0.8586,0.2006,0.2061,44104,0.046,0.0816,0.8332,0.0057,0.0313,0.0484,0.127,0,1,4.29,Rural,5,4,1,5,4,11.76378323
